sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_dome,illumination,1,5,1->5,500,500,7,6,2,500,0.3333333333333333,0.004,149.11620120416512,0.27777777777777773,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.013106599915772676,0.015977100003510714,0.002352599985897541,0.03143629990518093
i_dome,illumination,1,6,1->6,500,500,10,8,6,500,0.75,0.012,11.416220166115599,0.7083333333333334,0.75,0.25,0.625,0.75,0.875,0.875,0.875,0.013106599915772676,0.017150499974377453,0.0024100999580696225,0.03266719984821975
i_duda,illumination,1,2,1->2,500,500,275,244,237,500,0.9713114754098361,0.474,0.6300306223187506,0.9419398907103828,0.9713114754098361,0.7786885245901639,0.9180327868852459,0.9713114754098361,0.9918032786885246,0.9959016393442623,0.9959016393442623,0.00800789997447282,0.007814899901859462,0.0026943000266328454,0.01851709990296513
i_duda,illumination,1,3,1->3,500,500,150,127,118,500,0.9291338582677166,0.236,4.518834063237426,0.8832020997375328,0.9291338582677166,0.6299212598425197,0.8188976377952756,0.9291338582677166,0.968503937007874,0.9763779527559056,0.9763779527559056,0.00800789997447282,0.00736220006365329,0.002485699951648712,0.017855799989774823
i_duda,illumination,1,4,1->4,500,500,60,55,46,500,0.8363636363636363,0.092,4.700847722442905,0.8212121212121212,0.8363636363636363,0.509090909090909,0.8,0.8363636363636363,0.8909090909090909,0.9454545454545454,0.9454545454545454,0.00800789997447282,0.00708489993121475,0.00252620002720505,0.01761899993289262
i_duda,illumination,1,5,1->5,500,500,48,41,38,500,0.926829268292683,0.076,1.2451666010997602,0.8821138211382115,0.926829268292683,0.5121951219512195,0.9024390243902439,0.926829268292683,0.9512195121951219,1.0,1.0,0.00800789997447282,0.006770099978893995,0.002428899984806776,0.017206899938173592
i_duda,illumination,1,6,1->6,500,500,39,37,30,500,0.8108108108108109,0.06,11.926221318148777,0.8198198198198199,0.8108108108108109,0.7297297297297297,0.8108108108108109,0.8108108108108109,0.8378378378378378,0.8648648648648649,0.8648648648648649,0.00800789997447282,0.006506300065666437,0.0023530999897047877,0.016867300029844046
i_fenis,illumination,1,2,1->2,500,500,172,164,160,500,0.975609756097561,0.32,1.234596332841601,0.9410569105691057,0.975609756097561,0.7987804878048781,0.9024390243902439,0.975609756097561,0.9817073170731707,0.9939024390243902,0.9939024390243902,0.005395799991674721,0.005678400048054755,0.002472599968314171,0.013546800008043647
i_fenis,illumination,1,3,1->3,500,500,13,11,7,500,0.6363636363636364,0.014,62.42087769294112,0.5757575757575757,0.6363636363636364,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.005395799991674721,0.005557499942369759,0.0022878999589011073,0.013241199892945588
i_fenis,illumination,1,4,1->4,500,500,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005395799991674721,0.005088499980047345,0.0022904000943526626,0.012774700066074729
i_fenis,illumination,1,5,1->5,500,498,2,2,0,500,0.0,0.0,46.29486680544948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005395799991674721,0.004363399930298328,0.002320299972780049,0.012079499894753098
i_fenis,illumination,1,6,1->6,500,496,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005395799991674721,0.004184699966572225,0.0008659999584779143,0.01044649991672486
i_fog,illumination,1,2,1->2,500,478,22,18,14,500,0.7777777777777778,0.028,44.71816376349879,0.7870370370370371,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.005666399956680834,0.004965899977833033,0.002257399959489703,0.01288969989400357
