sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_castle,illumination,1,6,1->6,1628,1002,57,55,38,1628,0.6909090909090909,0.02334152334152334,32.29449470764494,0.6969696969696969,0.6909090909090909,0.5636363636363636,0.6727272727272727,0.6909090909090909,0.7272727272727273,0.7636363636363637,0.7636363636363637,0.0979869000002509,0.06941770000048564,0.020416399998794077,0.1878209999995306
i_chestnuts,illumination,1,2,1->2,2034,2674,864,843,820,2034,0.9727164887307236,0.4031465093411996,4.017832560672085,0.9689600632661132,0.9727164887307236,0.9347568208778173,0.9679715302491103,0.9727164887307236,0.9786476868327402,0.9798339264531435,0.9798339264531435,0.1221296000003349,0.10771050000039395,0.05495570000130101,0.28479580000202986
i_chestnuts,illumination,1,3,1->3,2034,2707,839,825,809,2034,0.9806060606060606,0.3977384464110128,2.900724660448487,0.9777777777777777,0.9806060606060606,0.9490909090909091,0.9769696969696969,0.9806060606060606,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.1221296000003349,0.13289630000144825,0.06420150000121794,0.3192274000030011
i_chestnuts,illumination,1,4,1->4,2034,2492,853,834,818,2034,0.9808153477218226,0.40216322517207476,3.790643892896313,0.9764188649080735,0.9808153477218226,0.9532374100719424,0.973621103117506,0.9808153477218226,0.9820143884892086,0.9844124700239808,0.9844124700239808,0.1221296000003349,0.12137079999956768,0.0592943000010564,0.302794700000959
i_chestnuts,illumination,1,5,1->5,2034,2030,705,687,670,2034,0.975254730713246,0.32940019665683384,5.611953147322815,0.9696749150897624,0.975254730713246,0.9432314410480349,0.9694323144104804,0.975254730713246,0.9767103347889374,0.9767103347889374,0.9767103347889374,0.1221296000003349,0.14609380000183592,0.049716900000930764,0.3179403000031016
i_chestnuts,illumination,1,6,1->6,2034,1754,440,419,399,2034,0.9522673031026253,0.19616519174041297,9.576048387971301,0.9466984884645983,0.9522673031026253,0.9116945107398569,0.9474940334128878,0.9522673031026253,0.954653937947494,0.9570405727923628,0.9570405727923628,0.1221296000003349,0.15560130000085337,0.04002010000112932,0.3177510000023176
i_contruction,illumination,1,2,1->2,5388,5425,4034,3994,3967,5388,0.9932398597896845,0.7362657757980697,0.9552835694316372,0.9904439993323318,0.9932398597896845,0.9697045568352529,0.9882323485227842,0.9932398597896845,0.9967451176765147,0.9972458688032048,0.9974962443665498,0.8045622000026924,0.7699721999997564,0.28860749999876134,1.8631419000012102
i_contruction,illumination,1,3,1->3,5388,5390,3995,3953,3927,5388,0.9934227169238553,0.7288418708240535,0.9966047092091818,0.9895438063917701,0.9934227169238553,0.9645838603592208,0.9896281305337719,0.9934227169238553,0.9959524411839109,0.9967113584619276,0.9969643308879332,0.8045622000026924,0.7179212000010011,0.283275899997534,1.8057593000012275
i_contruction,illumination,1,4,1->4,5388,5474,2936,2892,2849,5388,0.9851313969571232,0.5287676317743133,2.272547335088,0.9775242047026279,0.9851313969571232,0.9291147994467497,0.970954356846473,0.9851313969571232,0.9920470262793915,0.9937759336099585,0.9941217150760719,0.8045622000026924,0.8495340000008582,0.2810492999997223,1.935145500003273
i_contruction,illumination,1,5,1->5,5388,10620,555,545,501,5388,0.9192660550458716,0.09298440979955457,18.433202213644957,0.8847094801223241,0.9192660550458716,0.6458715596330276,0.8568807339449541,0.9192660550458716,0.9596330275229358,0.963302752293578,0.963302752293578,0.8045622000026924,0.968250199999602,0.5423326000018278,2.3151450000041223
i_contruction,illumination,1,6,1->6,5388,10174,219,212,183,5388,0.8632075471698113,0.03396436525612472,51.615060612086914,0.8199685534591196,0.8632075471698113,0.5518867924528302,0.7735849056603774,0.8632075471698113,0.9009433962264151,0.9150943396226415,0.9150943396226415,0.8045622000026924,0.9980029000034847,0.5062199999993027,2.3087851000054798
i_crownday,illumination,1,2,1->2,2439,2728,114,103,88,2439,0.8543689320388349,0.03608036080360803,40.43651024742974,0.8284789644012944,0.8543689320388349,0.6796116504854369,0.7961165048543689,0.8543689320388349,0.8737864077669902,0.883495145631068,0.883495145631068,0.5029709000009461,0.3401348999977927,0.06711459999860381,0.9102203999973426
i_crownday,illumination,1,3,1->3,2439,2497,217,194,159,2439,0.8195876288659794,0.06519065190651907,56.51411592868928,0.8006872852233676,0.8195876288659794,0.6701030927835051,0.7783505154639175,0.8195876288659794,0.8402061855670103,0.845360824742268,0.8505154639175257,0.5029709000009461,0.41094560000055935,0.06142570000156411,0.9753422000030696
i_crownday,illumination,1,4,1->4,2439,2530,369,351,313,2439,0.8917378917378918,0.12833128331283314,35.26761397622392,0.8774928774928775,0.8917378917378918,0.7549857549857549,0.8660968660968661,0.8917378917378918,0.9088319088319088,0.9145299145299145,0.9287749287749287,0.5029709000009461,0.328737200001342,0.0633940999978222,0.8951022000001103
i_crownday,illumination,1,5,1->5,2439,2447,655,628,582,2439,0.9267515923566879,0.23862238622386223,9.74941725029011,0.9023354564755839,0.9267515923566879,0.7261146496815286,0.8901273885350318,0.9267515923566879,0.947452229299363,0.9585987261146497,0.964968152866242,0.5029709000009461,0.33295469999939087,0.061874700000771554,0.8978003000011086
i_crownday,illumination,1,6,1->6,2439,2442,128,116,88,2439,0.7586206896551724,0.03608036080360803,100.43472948260886,0.7169540229885057,0.7586206896551724,0.5258620689655172,0.7155172413793104,0.7586206896551724,0.7672413793103449,0.7672413793103449,0.7672413793103449,0.5029709000009461,0.39024419999987003,0.06024420000176178,0.953459300002578
i_crownnight,illumination,1,2,1->2,7698,6437,811,767,709,7698,0.924380704041721,0.09210184463497012,26.08297416314173,0.9024337244676229,0.924380704041721,0.7548891786179922,0.8970013037809648,0.924380704041721,0.940026075619296,0.9465449804432855,0.9517601043024772,0.4162152999997488,0.5121159000009357,0.4887385000001814,1.4170697000008659
i_crownnight,illumination,1,3,1->3,7698,6013,758,731,668,7698,0.9138166894664843,0.08677578591842038,29.6713432298355,0.8926128590971273,0.9138166894664843,0.7482900136798906,0.8919288645690835,0.9138166894664843,0.9316005471956225,0.9343365253077975,0.9357045143638851,0.4162152999997488,0.6331871999973373,0.427606499997637,1.4770089999947231
